"Years","CO2EQ","CO2","CH4","N2O","RF"
1878,284.51148,289.8,833.75,278,0.33420941
1879,284.74683,290.225,835.25,278.1,0.368246
1880,284.54128,290.7,837,278.2,0.39995496
1881,284.58021,291.2,839,278.3,0.42920523
1882,285.21573,291.675,841,278.4,0.33982025
1883,285.70213,292.125,843,278.5,-0.56353326
1884,286.0759,292.575,844.75,278.6,-1.3017754
1885,286.62046,292.975,846.25,278.7,-0.71893884
1886,287.06145,293.3,848,278.8,-0.23580858
1887,287.22534,293.575,850,278.875,-0.11721518
1888,286.96157,293.8,852,278.925,-0.016598936
1889,286.96533,294,854,279,-0.08450957
1890,287.04595,294.175,856,279.1,-0.12348587
1891,286.86678,294.325,858.25,279.2,-0.02816829
1892,286.80077,294.475,860.75,279.3,0.17145477
1893,286.76394,294.6,863,279.375,0.34036723
1894,286.66071,294.7,865,279.425,0.45854671
1895,286.45183,294.8,867.25,279.475,0.43496617
1896,286.39693,294.9,869.75,279.525,0.26290903
1897,286.48722,295.025,872,279.6,0.16316606
1898,286.5877,295.225,874.25,279.675,0.25869933
1899,286.67626,295.5,876.75,279.725,0.36799034
1900,286.79938,295.8,879.5,279.8,0.41475781
1901,286.77043,296.125,883,279.9,0.39849017
1902,286.76808,296.475,887,280,-0.041670226
1903,286.79694,296.825,891.25,280.1,-0.40336913
1904,286.84493,297.2,895.75,280.2,-0.081701345
1905,287.01406,297.625,900.25,280.3,0.28507922
1906,287.05312,298.075,904.75,280.4,0.389716
1907,287.07137,298.5,909.25,280.525,0.36949981
1908,287.53578,298.9,914,280.675,0.38664275
1909,288.17921,299.3,919,280.825,0.45257997
1910,288.48048,299.7,923.75,280.975,0.47406745
1911,288.96295,300.075,928.25,281.125,0.47502449
1912,289.66408,300.425,933,281.3,0.23787245
1913,290.20208,300.775,938.25,281.475,0.1428922
1914,290.93296,301.1,943.75,281.625,0.38792615
1915,291.78371,301.4,949.25,281.8,0.54484665
1916,292.2385,301.725,954.75,282,0.61946613
1917,292.54437,302.075,960.25,282.225,0.65507998
1918,292.99248,302.4,966,282.475,0.66254981
1919,293.81347,302.7,972,282.7,0.64062566
1920,294.37098,303.025,977.75,282.925,0.53860773
1921,294.95151,303.4,983.25,283.175,0.51390834
1922,295.68377,303.775,989,283.4,0.59917404
1923,295.58615,304.125,995,283.6,0.6188415
1924,295.65484,304.525,1001,283.8,0.62160553
1925,296.25067,304.975,1007,284,0.65690052
1926,296.81103,305.4,1013,284.225,0.70124531
1927,297.14059,305.825,1019,284.45,0.72125112
1928,297.49651,306.3,1025,284.625,0.67462867
1929,297.96527,306.775,1030.75,284.8,0.62401289
1930,298.61802,307.225,1036.25,284.975,0.65251894
1931,299.6497,307.7,1041.75,285.125,0.6785285
1932,300.71564,308.175,1047.25,285.3,0.64515032
1933,301.45026,308.6,1052.75,285.5,0.65684612
1934,301.83497,309,1058,285.7,0.71706368
1935,302.24383,309.4,1063,285.9,0.77329698
1936,302.53336,309.75,1068,286.1,0.83155121
1937,302.82266,310,1073,286.275,0.84505011
1938,303.56161,310.175,1078,286.425,0.833606
1939,304.10605,310.3,1083,286.575,0.83751216
1940,304.10083,310.375,1088.25,286.725,0.84838382
1941,303.847,310.375,1093.75,286.9,0.84065291
1942,303.56374,310.3,1099,287.1,0.79637885
1943,303.42564,310.2,1104,287.3,0.77291049
1944,303.26736,310.125,1109.25,287.525,0.8014979
1945,303.23386,310.1,1114.75,287.775,0.84012487
1946,303.00439,310.125,1120.5,288.025,0.87434778
1947,302.45801,310.2,1126.75,288.275,0.88946972
1948,302.01134,310.325,1133.25,288.525,0.89886532
1949,301.9696,310.5,1140,288.775,0.87852081
1950,301.92017,310.75,1147.25,289,0.84163896
1951,300.87693,311.1,1155,289.2,0.80135099
1952,299.88451,311.5,1163.5,289.425,0.76630996
1953,299.76378,311.925,1172.75,289.675,0.74610376
1954,299.76984,312.425,1182.25,289.9,0.75480507
1955,299.80994,313,1192,290.125,0.81537626
1956,299.87995,313.6,1202.25,290.375,0.89909856
1957,300.01814,314.225,1213,290.6,0.96679968
1958,300.42588,314.8475,1224,290.825,0.98244834
1959,301.36642,315.5,1235.25,291.1,0.96883259
1960,302.54075,316.2725,1247,291.4,0.88020351
1961,302.71708,317.075,1259.25,291.675,0.75156663
1962,302.62276,317.795,1272,291.925,0.64515114
1963,303.11374,318.3975,1285,292.225,0.1620533
1964,303.60921,318.925,1298.25,292.6,-0.18567194
1965,304.41983,319.6475,1312,293,0.16267508
1966,305.56389,320.6475,1326,293.4,0.59334428
1967,306.5942,321.605,1340.25,293.8,0.76875547
1968,307.80774,322.635,1355,294.225,0.60919867
1969,309.59802,323.9025,1370.25,294.7,0.57531732
1970,311.80753,324.985,1385.75,295.2,0.84740204
1971,314.08678,325.855,1401.25,295.7,1.0370201
1972,316.19275,327.14,1417,296.225,1.0974394
1973,318.11545,328.6775,1433,296.8,1.0624488
1974,319.5999,329.7425,1449,297.4,0.91537051
1975,320.88163,330.585,1465,298,0.82176973
1976,322.19127,331.7475,1481,298.65,0.97769425
1977,323.87398,333.2725,1497.25,299.36,1.1988289
1978,326.20992,334.8475,1513.75,300.0825,1.2758337
1979,328.74045,336.525,1530.25,300.74,1.3561905
1980,330.86448,338.36,1547.75,301.3825,1.466064
1981,332.22762,339.7275,1566.75,302.22,1.4077614
1982,333.03368,340.7925,1586.25,303.0975,0.71477621
1983,334.24432,342.1975,1605.845,303.805,0.40876639
1984,336.14519,343.7825,1623.705,304.3975,0.95187721
1985,338.19811,345.2825,1637.9925,305.0875,1.2513234
1986,340.22271,346.7975,1650.435,305.7725,1.3423653
1987,342.40873,348.645,1662.2,306.2625,1.4352832
1988,345.08452,350.7375,1673.07,307.195,1.5760874
1989,347.72931,352.4875,1683.47,308.5075,1.7006148
1990,349.91054,353.855,1693.63,309.485,1.7456356
1991,351.18907,355.0175,1703.8175,310.1125,0.80674072
1992,351.54763,355.885,1711.8,310.6025,0.18316716
1993,352.27475,356.7775,1716.29,311.0775,0.8971375
1994,353.73698,358.1275,1721.0125,311.6025,1.436801
1995,355.93868,359.8375,1726.35,312.295,1.6412118
1996,358.2628,361.4625,1730.01,313.0475,1.7378777
1997,359.83008,363.155,1734.8175,313.76,1.8156668
1998,361.47123,365.3225,1742.71,314.5325,1.9242133
1999,363.28251,367.3475,1749.2425,315.2575,2.0332219
2000,364.36712,368.865,1751.0225,315.85,2.0961904
2001,365.65347,370.4675,1750.7075,316.4875,2.1279809
2002,367.97846,372.5225,1752.1875,317.245,2.1453595
2003,370.51984,374.76,1754.76,318.0175,2.1378986
2004,372.78524,376.8125,1755.065,318.71,2.1258179
2005,375.01356,378.8125,1753.735,319.44,2.0818331
2006,377.4073,380.8275,1754.518,320.19967,1.982861
2007,379.79075,382.7775,1757.3923,320.896,1.9369348
2008,382.25718,384.8,1760.8159,321.60665,1.9639063
2009,384.87959,386.93455,1764.6961,322.33188,2.0462718
2010,387.60742,389.0715,1768.688,323.07147,2.1568101
2011,390.46124,391.1665,1772.7889,323.82554,2.2303296
2012,393.40456,393.24066,1776.5604,324.58119,2.2792009
2013,396.31639,395.29786,1779.589,325.32519,2.3014953
2014,399.16983,397.34576,1781.9675,326.05742,2.295253
2015,401.99284,399.38717,1783.7889,326.77777,2.2882061
2016,404.78528,401.41789,1785.1042,327.48616,2.2977981
2017,407.54279,403.43127,1785.9337,328.18265,2.3173997
2018,410.26488,405.42513,1786.3038,328.86735,2.3414791
2019,412.99842,407.40083,1786.2466,329.54034,2.3696331
2020,415.76955,409.36026,1785.7913,330.20175,2.4515608
2021,418.57698,411.29764,1784.8938,330.85166,2.5608361
2022,421.4307,413.21903,1784.0299,331.50208,2.6318123
2023,424.32454,415.14445,1783.7309,332.165,2.6775434
2024,427.26531,417.08292,1783.9868,332.8405,2.6978631
2025,430.25671,419.03635,1784.7856,333.52868,2.6910353
2026,433.29811,421.0038,1786.1234,334.22958,2.6844557
2027,436.38173,422.97812,1787.962,334.94313,2.6954626
2028,439.49661,424.95028,1790.2392,335.66923,2.7173342
2029,442.63738,426.91631,1792.9056,336.40777,2.7444617
2030,445.56175,428.87629,1795.9236,337.15862,2.7729491
2031,448.0224,430.832,1799.2652,337.92168,2.8489563
2032,450.29573,432.80746,1802.8629,338.69708,2.9494044
2033,452.64207,434.83148,1806.6744,339.48491,3.0118921
2034,455.04472,436.91619,1810.7279,340.28509,3.0493504
2035,457.50887,439.06785,1815.0411,341.09749,3.0616137
2036,460.03259,441.28581,1819.6281,341.92201,3.0468765
2037,462.61159,443.5672,1824.5089,342.75853,3.0324909
2038,465.2343,445.90288,1829.6668,343.60696,3.0357576
2039,467.88612,448.28176,1835.0584,344.46717,3.0499224
2040,470.71807,450.69811,1840.6512,345.33907,3.0712011
2041,473.88849,453.15021,1846.4199,346.22254,3.100516
