Date,Cloudiness,Temperature,Wind Speed,Weather Code
2012-05-15,7,11.449999999999999,10,
2012-05-16,6,8.8874999999999993,19,80
2012-05-17,4,10.8125,18,3
2012-05-18,6,16.212499999999999,10,
2012-05-19,5,17.762499999999999,6,
2012-05-20,6,18.475000000000001,10,
2012-05-21,5,18.514285000000001,14,
2012-05-22,4,19.199999999999999,12,
2012-05-23,4,18.237500000000001,14,
2012-05-24,0,18.862500000000001,12,
2012-05-25,0,19.850000000000001,10,
2012-05-26,4,21.449999999999999,8,
2012-05-27,1,19.875,10,
2012-05-28,2,22.837499999999999,14,
2012-05-29,4,15.35,12,
2012-05-30,6,12.9375,14,
2012-05-31,7,13.262499999999999,10,61
2012-06-01,4,12.887499999999999,19,25
2012-06-02,4,12.4625,16,25
2012-06-03,7,12.35,12,
2012-06-04,7,13.2125,14,
2012-06-05,5,13.2125,16,25
2012-06-06,7,13.8375,10,61
2012-06-07,7,15.1875,10,51
2012-06-08,4,19.337499999999999,12,95
2012-06-09,6,14.6,14,61
2012-06-10,6,15,16,51
2012-06-11,3,16.524999999999999,8,
2012-06-12,7,14.112500000000001,6,63
2012-06-13,4,15.1625,12,
2012-06-14,6,14.050000000000001,12,
2012-06-15,7,18.3125,8,63
2012-06-16,6,18.462499999999999,10,25
2012-06-17,6,16.962499999999999,14,25
2012-06-18,6,19.587499999999999,19,95
2012-06-19,6,17.3125,6,
2012-06-20,6,17.649999999999999,12,
2012-06-21,4,18.512499999999999,16,
2012-06-22,4,18.324999999999999,14,29
2012-06-23,6,16.887499999999999,12,80
2012-06-24,8,12.875,12,63
2012-06-25,6,13.887499999999999,18,80
2012-06-26,6,14.300000000000001,18,20
2012-06-27,8,14.5625,10,
2012-06-28,6,18.262499999999999,8,
2012-06-29,6,22.75,8,95
2012-06-30,5,23.137499999999999,10,
2012-07-01,4,19.512499999999999,14,
2012-07-02,6,19.4375,10,
2012-07-03,3,20.537500000000001,12,
2012-07-04,5,19.949999999999999,12,
2012-07-05,7,17.262499999999999,12,10
2012-07-06,7,18.537500000000001,10,60
2012-07-07,7,20.787500000000001,4,
2012-07-08,5,22.975000000000001,10,95
2012-07-09,7,16.5,16,61
2012-07-10,6,18.824999999999999,14,1
2012-07-11,6,17.149999999999999,14,29
2012-07-12,5,15.487500000000001,14,81
2012-07-13,6,17.087499999999999,6,21
2012-07-14,6,17.912500000000001,19,25
2012-07-15,5,16.375,16,25
2012-07-16,5,16.875,16,80
2012-07-17,5,17.137499999999999,18,80
2012-07-18,7,16.949999999999999,6,63
2012-07-19,7,15.8125,16,81
2012-07-20,6,15.25,16,80
2012-07-21,6,16.162500000000001,16,
2012-07-22,4,18.324999999999999,12,
2012-07-23,2,22.483332999999998,12,
2012-07-25,1,25.649999999999999,8,
2012-07-26,1,22.587499999999999,8,
2012-07-27,1,26.074999999999999,10,
2012-07-28,7,18.949999999999999,14,63
2012-07-29,7,16.037500000000001,8,61
2012-07-30,6,15.1875,10,95
2012-07-31,5,17.162500000000001,12,
2012-08-01,6,21.0625,6,
2012-08-02,6,22.725000000000001,10,29
2012-08-03,4,20.6875,10,91
2012-08-04,6,18.225000000000001,6,61
2012-08-05,6,21.612500000000001,4,
2012-08-06,5,19.574999999999999,16,80
2012-08-07,6,17.3125,14,80
2012-08-08,4,17.899999999999999,16,80
2012-08-09,5,18.350000000000001,12,
2012-08-10,6,17.300000000000001,14,25
2012-08-11,2,18.850000000000001,10,
2012-08-12,1,19.787500000000001,12,
2012-08-13,2,20.037500000000001,14,
2012-08-14,2,20.162500000000001,12,
2012-08-15,1,20.399999999999999,14,
2012-08-16,6,17.324999999999999,10,63
2012-08-17,5,21.9375,8,
2012-08-18,6,27.524999999999999,8,
2012-08-19,2,26.875,8,
2012-08-20,3,26.149999999999999,16,
2012-08-21,6,20.8125,6,
2012-08-22,4,20.012499999999999,18,
2012-08-23,5,19.837499999999999,18,80
2012-08-24,7,16.262499999999999,4,61
2012-08-25,6,18.862500000000001,8,80
2012-08-26,6,17.324999999999999,14,95
2012-08-27,2,17.862500000000001,12,
2012-08-28,7,19.587499999999999,8,61
2012-08-29,4,20.662500000000001,8,3
2012-08-30,7,19.237500000000001,6,
2012-08-31,3,17.287500000000001,14,
2012-09-01,6,16.600000000000001,12,
2012-09-02,6,19.149999999999999,14,
2012-09-03,4,19.475000000000001,12,
2012-09-04,4,20.537500000000001,14,
2012-09-05,6,17.137499999999999,14,80
2012-09-06,7,16.112500000000001,14,
2012-09-07,7,16.125,12,58
2012-09-08,5,18.462499999999999,16,51
2012-09-09,4,21.074999999999999,6,
2012-09-10,4,23.125,12,
2012-09-11,7,17.087499999999999,12,61
2012-09-12,4,13.9625,12,80
2012-09-13,3,15.1,8,
2012-09-14,8,13.7125,16,61
2012-09-15,6,15.625,18,80
2012-09-16,3,18.350000000000001,12,
2012-09-17,4,17.4375,14,25
2012-09-18,6,15.0375,14,80
2012-09-19,5,10.637499999999999,16,81
2012-09-20,6,11.487500000000001,12,80
2012-09-21,7,14.25,14,21
2012-09-22,5,11.5,14,25
2012-09-23,4,13.65,10,
2012-09-24,8,10.4125,16,61
2012-09-25,7,14.925000000000001,10,80
2012-09-26,7,12.5625,6,61
2012-09-27,7,13.199999999999999,10,61
2012-09-28,6,13.5625,12,
2012-09-29,5,13.262499999999999,16,25
2012-09-30,4,13.875,14,25
2012-10-01,7,13.862500000000001,10,
2012-10-02,6,15.1625,10,10
2012-10-03,7,14.175000000000001,12,65
2012-10-04,7,10.449999999999999,10,80
2012-10-05,7,9.7375000000000007,14,61
2012-10-08,4,12.4375,12,80
2012-10-09,1,10.987500000000001,19,80
2012-10-10,5,10.1,12,80
2012-10-11,4,11.4375,6,
2012-10-12,6,10.137499999999999,10,61
2012-10-15,6,9.5875000000000004,10,51
2012-10-16,7,10.887499999999999,12,61
2012-10-17,7,12.1,12,21
2012-10-18,6,16.774999999999999,8,
2012-10-19,3,19.350000000000001,6,
