# 1st dimension: Re = np.logspace(np.log10(1.4e6), np.log10(1.05e7), 20); 2nd dimension: alpha = np.arange(-5., 5.5, .5)
-3.494803011417388916e-01,-2.983722984790802002e-01,-2.494421005249023438e-01,-1.966297477483749390e-01,-1.441367566585540771e-01,-9.067668765783309937e-02,nan,9.487435221672058105e-03,nan,1.174616143107414246e-01,1.718534380197525024e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-3.512537479400634766e-01,-3.005961179733276367e-01,-2.507122755050659180e-01,-1.975755691528320312e-01,nan,-9.237682074308395386e-02,-4.093400388956069946e-02,1.357687078416347504e-02,6.217478215694427490e-02,nan,1.715772449970245361e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,-2.506857812404632568e-01,-1.989021301269531250e-01,-1.462283730506896973e-01,-9.501186013221740723e-02,-4.191477596759796143e-02,nan,nan,nan,1.710416972637176514e-01,2.231555432081222534e-01,2.794676423072814941e-01,3.353926539421081543e-01,3.909265100955963135e-01,4.446584284305572510e-01,4.979424178600311279e-01,5.481548905372619629e-01,5.995613336563110352e-01,6.496407389640808105e-01,nan
nan,nan,nan,nan,-1.482655704021453857e-01,-9.655303508043289185e-02,-4.304090514779090881e-02,8.411932736635208130e-03,6.139608845114707947e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,-4.566834494471549988e-02,7.524158339947462082e-03,6.114031746983528137e-02,1.128288954496383667e-01,1.664164662361145020e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.338724017143249512e-01,4.889666736125946045e-01,5.438825488090515137e-01,5.984293818473815918e-01,6.524755358695983887e-01,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.722733259201049805e-01,4.265901744365692139e-01,4.806807935237884521e-01,5.345137119293212891e-01,5.880386233329772949e-01,6.411349177360534668e-01,6.938718557357788086e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.241842687129974365e-01,3.797480463981628418e-01,4.352019727230072021e-01,4.904739558696746826e-01,5.456035733222961426e-01,6.006063818931579590e-01,6.553974151611328125e-01,7.097964882850646973e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.641506791114807129e-01,3.190029561519622803e-01,3.736473917961120605e-01,4.281768202781677246e-01,4.825160503387451172e-01,5.366898179054260254e-01,5.907214879989624023e-01,nan,6.979164481163024902e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.690956294536590576e-01,3.248319029808044434e-01,3.805009424686431885e-01,4.360847473144531250e-01,4.915330111980438232e-01,5.468612909317016602e-01,6.020805835723876953e-01,6.571811437606811523e-01,7.118236422538757324e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.580170989036560059e-01,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.137785553932189941e-01,2.696732878684997559e-01,3.255250751972198486e-01,3.813152313232421875e-01,4.370329380035400391e-01,4.926512241363525391e-01,5.481483936309814453e-01,6.035297513008117676e-01,6.588262319564819336e-01,7.138541936874389648e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.140095978975296021e-01,2.699637711048126221e-01,3.258773386478424072e-01,3.817313611507415771e-01,4.375113844871520996e-01,4.932070970535278320e-01,5.487824082374572754e-01,6.042439341545104980e-01,6.596103310585021973e-01,7.147405147552490234e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.582136005163192749e-01,2.142359316349029541e-01,2.702493369579315186e-01,3.262251019477844238e-01,3.821440339088439941e-01,4.379892945289611816e-01,4.937540888786315918e-01,5.494051575660705566e-01,6.049452424049377441e-01,6.603748798370361328e-01,7.156012654304504395e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,1.022903919219970703e-01,1.583662629127502441e-01,2.144566774368286133e-01,2.705301344394683838e-01,3.265670239925384521e-01,3.825491666793823242e-01,4.384607076644897461e-01,4.942907989025115967e-01,5.500159263610839844e-01,6.056323647499084473e-01,6.611239314079284668e-01,7.164418101310729980e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,1.023613959550857544e-01,1.585172712802886963e-01,2.146719694137573242e-01,2.708049118518829346e-01,3.269020318984985352e-01,3.829458951950073242e-01,4.389205276966094971e-01,4.948154389858245850e-01,5.506141781806945801e-01,6.063045859336853027e-01,6.618582010269165039e-01,7.172623872756958008e-01
nan,nan,nan,nan,nan,nan,nan,nan,4.624132812023162842e-02,1.024423539638519287e-01,1.586653590202331543e-01,2.148820757865905762e-01,2.710736691951751709e-01,3.272299468517303467e-01,3.833336234092712402e-01,4.393693804740905762e-01,4.953271448612213135e-01,5.511968731880187988e-01,6.069587469100952148e-01,6.625772714614868164e-01,7.180591225624084473e-01
