# 1st dimension: Re = np.logspace(np.log10(1.4e6), np.log10(1.05e7), 20); 2nd dimension: alpha = np.arange(-5., 5.5, .5)
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-4.291872680187225342e-01,-4.230544567108154297e-01,-3.753450810909271240e-01,-3.246126174926757812e-01,-2.725616395473480225e-01,-2.199900299310684204e-01,-1.679833382368087769e-01,-1.151958405971527100e-01,-6.287823617458343506e-02,-1.148821786046028137e-02,3.794458881020545959e-02,9.011679887771606445e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,-2.651870846748352051e-01,-2.129981815814971924e-01,-1.601112633943557739e-01,-1.085261479020118713e-01,-5.689436942338943481e-02,-5.471156910061836243e-03,4.643704369664192200e-02,nan,nan,nan,nan,nan,nan,nan,4.688563942909240723e-01,5.227392911911010742e-01,5.707743763923645020e-01
-4.255795180797576904e-01,-3.907402157783508301e-01,-3.511686027050018311e-01,-3.077572286128997803e-01,-2.618968486785888672e-01,-2.129386067390441895e-01,-1.631578803062438965e-01,-1.116916388273239136e-01,-5.972380191087722778e-02,-7.716642227023839951e-03,4.419792070984840393e-02,9.656772017478942871e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-4.275900721549987793e-01,-3.923719525337219238e-01,-3.527976274490356445e-01,-3.100034594535827637e-01,-2.640024125576019287e-01,-2.160468101501464844e-01,-1.651309877634048462e-01,-1.121127903461456299e-01,-6.210006773471832275e-02,-9.653302840888500214e-03,4.284757375717163086e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.096249558031558990e-02,4.121875390410423279e-02,9.420654922723770142e-02,1.469207853078842163e-01,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.653632700443267822e-01,4.206061959266662598e-01,4.758159220218658447e-01,5.310003161430358887e-01,5.859436392784118652e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.199781715869903564e-01,4.752947986125946045e-01,5.305929780006408691e-01,5.856446623802185059e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.632022440433502197e-01,4.187560975551605225e-01,4.742822051048278809e-01,5.297716856002807617e-01,5.849369168281555176e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.069346547126770020e-01,3.625037670135498047e-01,4.181555509567260742e-01,4.737876057624816895e-01,5.293597579002380371e-01,5.842558145523071289e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.504435777664184570e-01,3.061778247356414795e-01,nan,4.175658524036407471e-01,4.733005166053771973e-01,5.289362668991088867e-01,5.813186764717102051e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.431218177080154419e-01,2.987436056137084961e-01,nan,4.097827970981597900e-01,4.653250277042388916e-01,5.206988453865051270e-01,5.714813470840454102e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.486952096223831177e-01,3.047178983688354492e-01,3.605543971061706543e-01,4.164464771747589111e-01,4.723568856716156006e-01,5.279412865638732910e-01,5.767473578453063965e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.871797442436218262e-01,2.470333129167556763e-01,3.033300340175628662e-01,3.593363165855407715e-01,4.153788685798645020e-01,4.714142084121704102e-01,5.236849188804626465e-01,5.733199715614318848e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.229773312807083130e-01,1.803005337715148926e-01,2.402077317237854004e-01,2.966659069061279297e-01,3.524613082408905029e-01,4.082773923873901367e-01,4.640058577060699463e-01,5.159147977828979492e-01,5.642936229705810547e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.112733274698257446e-02,nan,1.841396838426589966e-01,2.424102425575256348e-01,3.019830584526062012e-01,3.581560254096984863e-01,4.143278300762176514e-01,4.699762761592864990e-01,5.213958621025085449e-01,5.697573423385620117e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.025923579931259155e-02,1.254188269376754761e-01,1.834352612495422363e-01,2.398959845304489136e-01,3.012483119964599609e-01,3.575672209262847900e-01,4.137521982192993164e-01,4.676835238933563232e-01,5.194098353385925293e-01,5.688936114311218262e-01
