# 1st dimension: Re = np.logspace(np.log10(1.4e6), np.log10(1.05e7), 20); 2nd dimension: alpha = np.arange(-5., 5.5, .5)
nan,nan,1.032823175191879272e-01,1.570583283901214600e-01,nan,nan,nan,nan,3.939003348350524902e-01,4.481946229934692383e-01,5.008047223091125488e-01,5.489779710769653320e-01,5.890628695487976074e-01,6.420542597770690918e-01,6.920920014381408691e-01,7.404534220695495605e-01,7.876239418983459473e-01,8.345355391502380371e-01,8.800237178802490234e-01,nan,nan
nan,5.065248534083366394e-02,9.609233587980270386e-02,1.463995724916458130e-01,2.024453282356262207e-01,2.344024777412414551e-01,2.896907329559326172e-01,3.443312644958496094e-01,3.960081934928894043e-01,4.498512744903564453e-01,5.001189708709716797e-01,5.424482822418212891e-01,5.926247835159301758e-01,6.438836455345153809e-01,6.943202614784240723e-01,7.431452870368957520e-01,7.905333638191223145e-01,8.378000855445861816e-01,8.840016722679138184e-01,nan,nan
nan,nan,nan,nan,nan,2.370207458734512329e-01,2.921040058135986328e-01,3.465931117534637451e-01,3.975580930709838867e-01,4.505942165851593018e-01,5.005863904953002930e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-8.322664536535739899e-03,3.938236087560653687e-02,8.870182931423187256e-02,1.401727795600891113e-01,nan,nan,nan,nan,3.986324667930603027e-01,4.499328136444091797e-01,nan,5.442914962768554688e-01,5.960650444030761719e-01,6.477310657501220703e-01,6.986649632453918457e-01,7.484208941459655762e-01,7.970976829528808594e-01,8.445250988006591797e-01,8.920069336891174316e-01,9.385377168655395508e-01,9.838852286338806152e-01
-1.354982797056436539e-02,3.620337322354316711e-02,8.762178570032119751e-02,1.398702710866928101e-01,1.926610171794891357e-01,2.405214458703994751e-01,2.958427071571350098e-01,nan,3.990199863910675049e-01,4.501178264617919922e-01,4.950093030929565430e-01,5.455022454261779785e-01,5.977581143379211426e-01,6.496080160140991211e-01,7.007939219474792480e-01,7.508997321128845215e-01,8.001842498779296875e-01,8.480708003044128418e-01,8.960236907005310059e-01,9.434678554534912109e-01,9.894455075263977051e-01
nan,nan,nan,nan,nan,nan,nan,3.466671109199523926e-01,3.979052305221557617e-01,nan,4.961229562759399414e-01,nan,5.994383692741394043e-01,6.514680385589599609e-01,7.028535008430480957e-01,nan,8.031226396560668945e-01,8.519934415817260742e-01,8.999588489532470703e-01,9.478116631507873535e-01,9.943270087242126465e-01
nan,nan,nan,nan,nan,nan,nan,nan,3.977590501308441162e-01,4.446391165256500244e-01,4.966466724872589111e-01,5.496254563331604004e-01,6.019011139869689941e-01,6.532787680625915527e-01,nan,7.554692625999450684e-01,8.058068752288818359e-01,8.553298711776733398e-01,9.035497903823852539e-01,9.517298340797424316e-01,9.987413883209228516e-01
nan,nan,nan,nan,nan,nan,2.934405505657196045e-01,3.447367548942565918e-01,3.922691047191619873e-01,4.445435702800750732e-01,4.970483183860778809e-01,nan,nan,6.549100279808044434e-01,7.063996195793151855e-01,7.575882673263549805e-01,8.083585500717163086e-01,8.584030270576477051e-01,9.068729281425476074e-01,9.553591609001159668e-01,1.002843737602233887e+00
nan,nan,nan,nan,nan,nan,2.915266752243041992e-01,3.445408344268798828e-01,3.924857378005981445e-01,4.448216855525970459e-01,4.980723261833190918e-01,nan,6.049840450286865234e-01,6.563315391540527344e-01,7.080467939376831055e-01,7.596624493598937988e-01,8.107603192329406738e-01,8.612026572227478027e-01,9.105793833732604980e-01,9.587829113006591797e-01,1.006692171096801758e+00
nan,nan,nan,nan,nan,2.386810183525085449e-01,2.910295724868774414e-01,3.397616744041442871e-01,nan,4.456895291805267334e-01,4.993138313293457031e-01,nan,nan,nan,7.097491621971130371e-01,7.616543769836425781e-01,8.130258321762084961e-01,8.637882471084594727e-01,9.136289358139038086e-01,9.620428085327148438e-01,1.010287880897521973e+00
nan,nan,nan,nan,nan,2.372098416090011597e-01,2.863788902759552002e-01,3.393895030021667480e-01,3.926896452903747559e-01,4.465733170509338379e-01,5.004607439041137695e-01,nan,6.074350476264953613e-01,6.603393554687500000e-01,7.114229798316955566e-01,7.635560631752014160e-01,8.151849508285522461e-01,8.662295341491699219e-01,9.165174365043640137e-01,9.651238918304443359e-01,1.013640642166137695e+00
nan,nan,nan,nan,1.833874583244323730e-01,2.368210107088088989e-01,2.864049375057220459e-01,3.395116329193115234e-01,3.933977782726287842e-01,4.474215209484100342e-01,5.015272498130798340e-01,nan,6.086880564689636230e-01,6.617357134819030762e-01,7.130538225173950195e-01,7.653902769088745117e-01,8.172605633735656738e-01,8.685750365257263184e-01,9.192059636116027832e-01,9.681016206741333008e-01,1.016615390777587891e+00
nan,nan,nan,1.301794201135635376e-01,1.826696544885635376e-01,2.327125072479248047e-01,2.861503362655639648e-01,3.399516940116882324e-01,3.941130340099334717e-01,4.482416808605194092e-01,5.027402043342590332e-01,5.564708113670349121e-01,6.099340915679931641e-01,6.631389260292053223e-01,7.146583795547485352e-01,7.671715617179870605e-01,8.192691802978515625e-01,8.708122968673706055e-01,9.217369556427001953e-01,9.715638756752014160e-01,1.018942713737487793e+00
nan,nan,nan,1.282379478216171265e-01,1.823825091123580933e-01,2.327397912740707397e-01,2.862768769264221191e-01,3.404727876186370850e-01,3.947998583316802979e-01,4.490412771701812744e-01,nan,5.575282573699951172e-01,6.111495494842529297e-01,6.645019054412841797e-01,nan,7.689100503921508789e-01,8.211979269981384277e-01,8.729646801948547363e-01,9.241418838500976562e-01,9.744260311126708984e-01,1.014805316925048828e+00
nan,nan,7.425682991743087769e-02,1.277780830860137939e-01,1.786302626132965088e-01,2.324645221233367920e-01,2.865630984306335449e-01,3.410136103630065918e-01,3.954628407955169678e-01,4.498113691806793213e-01,5.045139193534851074e-01,5.585512518882751465e-01,6.123301982879638672e-01,6.658371090888977051e-01,7.187399864196777344e-01,nan,8.230590224266052246e-01,8.750397562980651855e-01,9.264501333236694336e-01,9.770712852478027344e-01,1.013563990592956543e+00
nan,2.043828926980495453e-02,7.296541333198547363e-02,nan,1.786612272262573242e-01,2.324471473693847656e-01,2.869217097759246826e-01,3.415435254573822021e-01,3.961111009120941162e-01,4.505504965782165527e-01,5.053628087043762207e-01,5.595428347587585449e-01,6.134779453277587891e-01,6.671367883682250977e-01,7.201914787292480469e-01,7.722331285476684570e-01,8.248618841171264648e-01,8.770470023155212402e-01,9.286751151084899902e-01,9.795455932617187500e-01,1.013492584228515625e+00
-3.446013480424880981e-02,1.853648573160171509e-02,7.256569713354110718e-02,1.240551248192787170e-01,1.782766133546829224e-01,2.325940281152725220e-01,2.873096168041229248e-01,3.420594632625579834e-01,nan,nan,nan,5.605035424232482910e-01,6.145880222320556641e-01,6.683977842330932617e-01,7.216085195541381836e-01,7.747185826301574707e-01,8.266093134880065918e-01,8.789892196655273438e-01,9.308189749717712402e-01,9.818482398986816406e-01,1.016028285026550293e+00
-3.558320552110671997e-02,1.742955110967159271e-02,7.225518673658370972e-02,1.240990683436393738e-01,1.780904084444046021e-01,2.328133434057235718e-01,2.877020835876464844e-01,3.425684273242950439e-01,3.973342180252075195e-01,4.519935548305511475e-01,nan,5.614346861839294434e-01,6.156601905822753906e-01,6.696033477783203125e-01,7.229858636856079102e-01,7.762338519096374512e-01,8.283056616783142090e-01,8.808671236038208008e-01,9.328739047050476074e-01,9.839594364166259766e-01,1.018862366676330566e+00
-3.712683171033859253e-02,1.703104563057422638e-02,7.214707881212234497e-02,1.235947012901306152e-01,1.781094819307327271e-01,2.330745160579681396e-01,2.880914211273193359e-01,3.430523574352264404e-01,3.979224264621734619e-01,4.526900351047515869e-01,5.077250003814697266e-01,5.623289942741394043e-01,6.166869997978210449e-01,6.707364916801452637e-01,7.243242859840393066e-01,7.777162790298461914e-01,8.299598693847656250e-01,nan,9.348345398902893066e-01,9.840307831764221191e-01,1.021652579307556152e+00
-3.834669664502143860e-02,1.669079996645450592e-02,6.902157515287399292e-02,1.232407614588737488e-01,1.782199591398239136e-01,2.333516031503677368e-01,nan,nan,nan,nan,nan,5.631980299949645996e-01,6.176796555519104004e-01,6.718276739120483398e-01,7.256217598915100098e-01,7.791557312011718750e-01,8.323538899421691895e-01,8.844334483146667480e-01,9.367038607597351074e-01,9.806944131851196289e-01,1.024361848831176758e+00
