# 1st dimension: Re = np.logspace(np.log10(1.4e6), np.log10(1.05e7), 20); 2nd dimension: alpha = np.arange(-5., 5.5, .5)
nan,nan,nan,nan,nan,nan,nan,2.297483980655670166e-01,nan,3.436257541179656982e-01,3.997230827808380127e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,2.297204136848449707e-01,nan,3.441345095634460449e-01,4.002538323402404785e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1.411217451095581055e-01,-9.382110834121704102e-02,-4.401865229010581970e-02,8.859122171998023987e-03,6.375208497047424316e-02,1.173147708177566528e-01,nan,2.299886792898178101e-01,nan,3.446013033390045166e-01,4.005726575851440430e-01,4.537980556488037109e-01,5.032436847686767578e-01,5.670508742332458496e-01,6.229718327522277832e-01,6.777266860008239746e-01,7.157517671585083008e-01,7.625821828842163086e-01,8.166421055793762207e-01,8.704289197921752930e-01,9.238862991333007812e-01
nan,nan,nan,nan,nan,nan,nan,2.303737848997116089e-01,nan,3.449109792709350586e-01,4.008321762084960938e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,2.307184636592864990e-01,nan,3.451212346553802490e-01,4.009868800640106201e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,2.309798151254653931e-01,nan,3.452043533325195312e-01,4.012657701969146729e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,3.453058302402496338e-01,4.016509056091308594e-01,4.577451944351196289e-01,5.128802657127380371e-01,5.636566877365112305e-01,6.240916252136230469e-01,6.764069199562072754e-01,7.122005820274353027e-01,7.669025659561157227e-01,8.212964534759521484e-01,8.753260970115661621e-01,nan
-1.420198231935501099e-01,nan,nan,nan,nan,nan,nan,nan,nan,3.455324470996856689e-01,4.022185504436492920e-01,4.585321545600891113e-01,5.134092569351196289e-01,5.665689110755920410e-01,6.239485144615173340e-01,6.758146882057189941e-01,7.131326198577880859e-01,7.678973078727722168e-01,8.223448395729064941e-01,8.764753937721252441e-01,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,3.457836806774139404e-01,4.026714265346527100e-01,4.590742588043212891e-01,5.137646794319152832e-01,5.681250691413879395e-01,6.233626604080200195e-01,6.748385429382324219e-01,7.127935290336608887e-01,7.688579559326171875e-01,8.233562111854553223e-01,8.776221871376037598e-01,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,3.461796343326568604e-01,4.031288623809814453e-01,nan,5.141555666923522949e-01,5.693539381027221680e-01,6.170508861541748047e-01,6.729303002357482910e-01,7.170971632003784180e-01,7.697862386703491211e-01,8.243558406829833984e-01,8.787288069725036621e-01,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,3.465408384799957275e-01,4.034397006034851074e-01,4.594168365001678467e-01,5.146492719650268555e-01,5.703106522560119629e-01,6.204546689987182617e-01,6.714322566986083984e-01,7.187504768371582031e-01,7.706881761550903320e-01,8.253471851348876953e-01,8.798102736473083496e-01,9.339392781257629395e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,3.468542098999023438e-01,4.036057591438293457e-01,4.594921171665191650e-01,5.153194069862365723e-01,5.710593461990356445e-01,6.212564706802368164e-01,6.699323058128356934e-01,7.199779152870178223e-01,7.731434702873229980e-01,8.263250589370727539e-01,8.808642029762268066e-01,9.350468516349792480e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,3.470973670482635498e-01,4.035513401031494141e-01,4.597787261009216309e-01,5.158013701438903809e-01,5.712552666664123535e-01,6.211451888084411621e-01,6.662431359291076660e-01,7.210390567779541016e-01,7.752947807312011719e-01,8.272851109504699707e-01,8.818710446357727051e-01,9.361264109611511230e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,3.472128510475158691e-01,4.035328626632690430e-01,4.601638913154602051e-01,5.162978768348693848e-01,nan,6.204639673233032227e-01,6.680886745452880859e-01,7.219833135604858398e-01,7.766570448875427246e-01,8.256397843360900879e-01,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,3.471184968948364258e-01,4.036441445350646973e-01,4.605616033077239990e-01,5.164268612861633301e-01,5.714982151985168457e-01,6.200181245803833008e-01,6.688170433044433594e-01,7.228717803955078125e-01,7.777623534202575684e-01,8.315767645835876465e-01,8.838018774986267090e-01,9.381971955299377441e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,3.470097780227661133e-01,4.038881361484527588e-01,4.608606994152069092e-01,5.163727998733520508e-01,5.705428123474121094e-01,6.193481683731079102e-01,6.694160699844360352e-01,7.237024903297424316e-01,7.787089943885803223e-01,8.331744670867919922e-01,8.847325444221496582e-01,9.391921162605285645e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,3.470675945281982422e-01,4.042214453220367432e-01,nan,nan,5.694496631622314453e-01,6.186841726303100586e-01,6.697400808334350586e-01,7.244901657104492188e-01,7.795602679252624512e-01,8.343362212181091309e-01,8.856399655342102051e-01,9.401733279228210449e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,3.472371101379394531e-01,4.044504165649414062e-01,4.608136713504791260e-01,5.168179869651794434e-01,5.680677294731140137e-01,6.180834770202636719e-01,nan,7.252428531646728516e-01,7.803843617439270020e-01,nan,nan,9.411342144012451172e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,3.474675714969635010e-01,4.045245051383972168e-01,4.607211053371429443e-01,5.172755718231201172e-01,5.667111873626708984e-01,nan,6.703764200210571289e-01,7.259613275527954102e-01,7.811813950538635254e-01,nan,8.905866742134094238e-01,9.420756101608276367e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,3.476575314998626709e-01,4.042556583881378174e-01,4.608607590198516846e-01,5.176107883453369141e-01,5.660517811775207520e-01,6.173360943794250488e-01,6.709373593330383301e-01,7.266417145729064941e-01,7.819453477859497070e-01,8.370189070701599121e-01,nan,9.429962038993835449e-01
