# 1st dimension: Re = np.logspace(np.log10(1.4e6), np.log10(1.05e7), 20); 2nd dimension: alpha = np.arange(-5., 5.5, .5)
nan,nan,nan,nan,nan,1.957833319902420044e-01,2.535745501518249512e-01,nan,3.782112598419189453e-01,4.390055537223815918e-01,4.966390728950500488e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,2.580764889717102051e-02,8.221878111362457275e-02,nan,1.977923214435577393e-01,2.557373344898223877e-01,3.137553334236145020e-01,3.799214959144592285e-01,4.397250413894653320e-01,4.989906549453735352e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,2.710901387035846710e-02,8.378087729215621948e-02,nan,1.996872872114181519e-01,2.578114569187164307e-01,3.157365918159484863e-01,3.788560330867767334e-01,4.395243227481842041e-01,5.022449493408203125e-01,nan,nan,6.720542311668395996e-01,7.301948666572570801e-01,7.804254889488220215e-01,nan,8.723288774490356445e-01,9.059327840805053711e-01,1.003100633621215820e+00,1.032223105430603027e+00
nan,nan,nan,nan,nan,2.015411853790283203e-01,2.598243355751037598e-01,3.171493411064147949e-01,3.783626854419708252e-01,4.412954747676849365e-01,5.050488114356994629e-01,5.650976896286010742e-01,6.209437847137451172e-01,6.755281686782836914e-01,7.313308119773864746e-01,7.827233076095581055e-01,8.304948210716247559e-01,8.706329464912414551e-01,8.966774940490722656e-01,9.977937936782836914e-01,1.034781455993652344e+00
nan,nan,nan,nan,nan,2.033840566873550415e-01,2.617419064044952393e-01,3.177523314952850342e-01,3.739606738090515137e-01,nan,5.069286823272705078e-01,5.673456192016601562e-01,6.206617951393127441e-01,6.783828735351562500e-01,7.295779585838317871e-01,nan,8.275603652000427246e-01,8.659259080886840820e-01,8.822353482246398926e-01,9.932528138160705566e-01,1.022909164428710938e+00
nan,nan,nan,nan,nan,2.052614092826843262e-01,2.631116807460784912e-01,3.180291056632995605e-01,3.756547272205352783e-01,4.439429342746734619e-01,5.090615153312683105e-01,5.681442022323608398e-01,6.229597330093383789e-01,6.784273982048034668e-01,7.317682504653930664e-01,7.819773554801940918e-01,8.247650861740112305e-01,8.552228808403015137e-01,8.816357254981994629e-01,9.943426847457885742e-01,1.008952140808105469e+00
nan,nan,nan,nan,1.483121365308761597e-01,2.071283012628555298e-01,2.633116245269775391e-01,3.188278079032897949e-01,3.780395388603210449e-01,4.429559111595153809e-01,5.107483267784118652e-01,5.673717856407165527e-01,6.248168945312500000e-01,6.770027875900268555e-01,7.341862320899963379e-01,7.790523767471313477e-01,8.240501880645751953e-01,8.424810767173767090e-01,8.767439723014831543e-01,9.897540807723999023e-01,9.967309236526489258e-01
nan,nan,nan,nan,1.500750780105590820e-01,2.087623178958892822e-01,2.629199326038360596e-01,3.206909000873565674e-01,3.803098201751708984e-01,4.345833063125610352e-01,5.106809735298156738e-01,5.679590106010437012e-01,6.230286955833435059e-01,6.791261434555053711e-01,7.295920848846435547e-01,7.755680084228515625e-01,8.124432563781738281e-01,8.415433764457702637e-01,8.801282644271850586e-01,9.801339507102966309e-01,nan
nan,nan,nan,nan,1.518478393554687500e-01,2.095841616392135620e-01,2.637735605239868164e-01,3.228699266910552979e-01,3.820949494838714600e-01,4.334091246128082275e-01,5.089434385299682617e-01,5.686385035514831543e-01,6.222448348999023438e-01,nan,7.272999286651611328e-01,nan,7.981122136116027832e-01,8.373285531997680664e-01,8.833530545234680176e-01,9.709159135818481445e-01,9.869855642318725586e-01
nan,nan,nan,9.466817975044250488e-02,1.535502672195434570e-01,2.088007032871246338e-01,2.656259834766387939e-01,3.249011635780334473e-01,3.836147189140319824e-01,4.344175457954406738e-01,5.092055201530456543e-01,5.655339956283569336e-01,6.241166591644287109e-01,6.749850511550903320e-01,7.242641448974609375e-01,nan,7.969790697097778320e-01,8.399804234504699707e-01,8.878518342971801758e-01,9.636307954788208008e-01,9.895810484886169434e-01
nan,nan,3.753166645765304565e-02,9.630310535430908203e-02,1.550220102071762085e-01,2.086188197135925293e-01,2.675856053829193115e-01,3.267214000225067139e-01,3.825157284736633301e-01,4.318175911903381348e-01,5.107657909393310547e-01,5.643628239631652832e-01,6.217939257621765137e-01,6.717761158943176270e-01,7.258148193359375000e-01,7.502620220184326172e-01,nan,8.423088192939758301e-01,8.927688002586364746e-01,nan,9.949450492858886719e-01
nan,nan,3.906521573662757874e-02,9.782493114471435547e-02,1.556561887264251709e-01,2.101731598377227783e-01,nan,3.279626071453094482e-01,3.810593187808990479e-01,nan,5.060449242591857910e-01,nan,6.192434430122375488e-01,6.702849864959716797e-01,nan,7.494808435440063477e-01,7.956181168556213379e-01,8.456346988677978516e-01,8.976584672927856445e-01,9.560604095458984375e-01,1.000593304634094238e+00
nan,nan,4.053778946399688721e-02,9.918549656867980957e-02,1.548110693693161011e-01,2.119351923465728760e-01,2.709922492504119873e-01,3.275789022445678711e-01,3.821066617965698242e-01,nan,5.024203062057495117e-01,5.585716962814331055e-01,6.136311292648315430e-01,6.719918847084045410e-01,6.987960338592529297e-01,nan,7.975255250930786133e-01,8.495864868164062500e-01,9.022777676582336426e-01,9.569593667984008789e-01,1.006248474121093750e+00
nan,nan,4.187551140785217285e-02,1.001634970307350159e-01,1.547409892082214355e-01,2.135556787252426147e-01,2.716896831989288330e-01,3.268836438655853271e-01,3.805599212646484375e-01,4.260960221290588379e-01,4.980061054229736328e-01,5.551773905754089355e-01,6.137841343879699707e-01,6.490659117698669434e-01,6.986999511718750000e-01,7.476596236228942871e-01,8.000055551528930664e-01,8.536202311515808105e-01,9.066742062568664551e-01,9.607694149017333984e-01,1.011626482009887695e+00
nan,-1.538079138845205307e-02,4.304958879947662354e-02,1.004715859889984131e-01,1.561369448900222778e-01,2.148501127958297729e-01,2.708446085453033447e-01,3.275761008262634277e-01,3.774929642677307129e-01,4.197121560573577881e-01,4.853484034538269043e-01,nan,nan,6.462088823318481445e-01,7.015925645828247070e-01,7.489677071571350098e-01,8.029744625091552734e-01,8.574917316436767578e-01,9.108149409294128418e-01,9.651234149932861328e-01,nan
nan,-1.423761714249849319e-02,4.368821159005165100e-02,1.005316004157066345e-01,1.574369072914123535e-01,nan,2.705251276493072510e-01,3.288963139057159424e-01,3.744246363639831543e-01,nan,4.812948703765869141e-01,nan,5.888975262641906738e-01,6.474319696426391602e-01,6.977244019508361816e-01,7.508447766304016113e-01,8.059176206588745117e-01,8.610951900482177734e-01,9.147114157676696777e-01,9.694584012031555176e-01,1.021485924720764160e+00
-7.139360159635543823e-02,-1.331915520131587982e-02,4.369680210947990417e-02,1.008292287588119507e-01,1.582244634628295898e-01,nan,2.713324129581451416e-01,3.302645683288574219e-01,3.659531772136688232e-01,3.970796465873718262e-01,4.822722673416137695e-01,nan,5.870407223701477051e-01,nan,6.992423534393310547e-01,7.535867691040039062e-01,8.089494705200195312e-01,8.643101453781127930e-01,9.129117727279663086e-01,9.736192822456359863e-01,1.025986909866333008e+00
-7.048770785331726074e-02,-1.313993148505687714e-02,4.383621364831924438e-02,1.017685309052467346e-01,1.573271751403808594e-01,2.139097750186920166e-01,2.726832032203674316e-01,3.270147740840911865e-01,nan,3.947455883026123047e-01,4.595399796962738037e-01,5.159549713134765625e-01,5.877014994621276855e-01,6.442689895629882812e-01,7.010817527770996094e-01,7.565460205078125000e-01,8.120157718658447266e-01,8.672432303428649902e-01,9.159544706344604492e-01,9.775803089141845703e-01,1.030187487602233887e+00
-6.999946385622024536e-02,-1.331864204257726669e-02,4.451161250472068787e-02,1.029459983110427856e-01,1.565893143415451050e-01,2.148189693689346313e-01,2.738707065582275391e-01,3.257177174091339111e-01,3.444293439388275146e-01,3.965128660202026367e-01,nan,5.166665315628051758e-01,nan,6.452994346618652344e-01,7.034549117088317871e-01,nan,8.151683211326599121e-01,8.702101111412048340e-01,9.185247421264648438e-01,9.812982082366943359e-01,1.034018754959106445e+00
-7.026256620883941650e-02,-1.304402016103267670e-02,4.542130976915359497e-02,1.027746945619583130e-01,1.570986211299896240e-01,2.161486446857452393e-01,2.714740037918090820e-01,3.201466500759124756e-01,3.423271477222442627e-01,3.989455401897430420e-01,4.585649967193603516e-01,5.173194408416748047e-01,5.811080932617187500e-01,6.448024511337280273e-01,7.058392763137817383e-01,7.624015808105468750e-01,8.182001113891601562e-01,8.685215115547180176e-01,9.210419058799743652e-01,9.845996499061584473e-01,1.031534314155578613e+00
